IP Address,IP Type,Last VA Date,Last PT Date,No Of Open Ports,List Of Open Ports ,Total Vulnerability Count,Critical,High,Medium,Low ,Managed By (As Per VA Data),Owner (As Per VA Data),Unit (As Per VA Data),Unit (As Per Perspicacity),Managed By (As Per Perspicacity),Asset Reported in Perspicacity By,Asset Registered In Perspicacity On
203.145.145.32,Public IP,,Tue May 07 2024 07:04:10 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,"22,51,52,83,82,718",07:16.7
14.141.86.75,Public IP,,Tue Jun 04 2024 06:33:56 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,None,,,
125.21.55.78,Public IP,,Tue Jun 04 2024 06:37:24 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,None,,,
125.21.49.150,Public IP,,Tue Jun 04 2024 06:37:26 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"ITIS1-Parent,Shared Services Group Internal IT - Parent",Internal IT Team,"22,51,52,83,82,718",54:10.8
125.19.144.206,Public IP,Tue Apr 26 2022 00:00:00 GMT+0530 (India Standard Time),Tue Jun 04 2024 04:49:15 GMT+0530 (India Standard Time),0,0,1,0,0,1,0,TCS Owned Internalit managed,,Shared Services Group Internal IT - Parent,Shared Services Group Internal IT - Parent,Internal IT Team,382718,16:57.0
203.145.145.62,Public IP,,Tue Jun 04 2024 06:41:14 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,"22,51,52,83,82,718",07:16.7
203.145.145.61,Public IP,,Tue Jun 04 2024 07:01:10 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,"22,51,52,83,82,718",07:16.7
125.18.221.2,Public IP,,Sun Jun 02 2024 17:13:08 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,"IS-Mfg-NA Auto and Industrial-Parent,Others,Shared Services Group Internal IT - Parent",Internal IT Team,"22,51,52,83,82,718",14:30.5
125.17.228.170,Public IP,,Tue Jun 04 2024 07:10:09 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,None,,,
125.16.8.134,Public IP,,Tue Jun 04 2024 07:10:11 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,None,,,
203.145.145.60,Public IP,,Tue Jun 04 2024 07:10:09 GMT+0530 (India Standard Time),0,0,0,0,0,0,0,,,None,Shared Services Group Internal IT - Parent,Internal IT Team,"22,51,52,83,82,718",07:16.7
